Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
EQIX,overboughtThreshold=70.0;oversoldThreshold=25.0;period=19.0,0.9177,0.1355,0.4615,26,1.36
EQR,overboughtThreshold=80.0;oversoldThreshold=15.0;period=15.0,0.6414,0.1202,0.2941,17,0.80
EQT,overboughtThreshold=70.0;oversoldThreshold=35.0;period=17.0,1.2286,0.3425,0.3333,45,6.85
ERIE,overboughtThreshold=85.0;oversoldThreshold=20.0;period=25.0,0.8631,0.1588,0.4444,9,0.98
ESS,overboughtThreshold=80.0;oversoldThreshold=35.0;period=11.0,0.6362,0.3570,0.3750,56,1.20
ES,overboughtThreshold=75.0;oversoldThreshold=20.0;period=17.0,0.7017,0.1954,0.2857,21,0.95
ETN,overboughtThreshold=80.0;oversoldThreshold=35.0;period=13.0,1.1612,0.2765,0.4490,49,3.08
ETR,overboughtThreshold=70.0;oversoldThreshold=30.0;period=25.0,1.1170,0.1305,0.4400,25,1.51
EVRG,overboughtThreshold=80.0;oversoldThreshold=30.0;period=13.0,0.8733,0.2423,0.3519,54,1.40
EW,overboughtThreshold=65.0;oversoldThreshold=20.0;period=11.0,0.7653,0.2627,0.3509,57,1.20
EXC,overboughtThreshold=80.0;oversoldThreshold=30.0;period=15.0,0.9102,0.2390,0.4688,32,1.39
EXPD,overboughtThreshold=80.0;oversoldThreshold=20.0;period=11.0,0.9113,0.2308,0.3913,46,1.41
EXPE,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,1.0176,0.4662,0.3723,137,4.72
EXR,overboughtThreshold=70.0;oversoldThreshold=20.0;period=9.0,0.3783,0.2135,0.2941,68,0.51
FANG,overboughtThreshold=80.0;oversoldThreshold=30.0;period=25.0,1.2447,0.3185,0.4118,17,8.50
FAST,overboughtThreshold=75.0;oversoldThreshold=30.0;period=23.0,1.1102,0.1366,0.4762,21,1.82
FCX,overboughtThreshold=80.0;oversoldThreshold=30.0;period=5.0,1.2029,0.4083,0.3450,171,7.22
FDS,overboughtThreshold=65.0;oversoldThreshold=35.0;period=25.0,0.8869,0.1013,0.4595,37,1.30
FDX,overboughtThreshold=85.0;oversoldThreshold=35.0;period=11.0,0.6795,0.4679,0.3725,51,1.75
FE,overboughtThreshold=80.0;oversoldThreshold=25.0;period=21.0,0.8765,0.1732,0.3810,21,1.39
FFIV,overboughtThreshold=85.0;oversoldThreshold=20.0;period=15.0,1.2153,0.1119,0.4286,21,1.92
FICO,overboughtThreshold=80.0;oversoldThreshold=35.0;period=25.0,0.9408,0.3749,0.4211,19,2.84
FIS,overboughtThreshold=65.0;oversoldThreshold=15.0;period=5.0,0.6491,0.2467,0.3630,146,1.02
FITB,overboughtThreshold=85.0;oversoldThreshold=30.0;period=7.0,0.8250,0.3576,0.3678,87,2.53
FI,overboughtThreshold=70.0;oversoldThreshold=25.0;period=5.0,1.3608,0.1524,0.4064,187,2.83
FMC,overboughtThreshold=70.0;oversoldThreshold=15.0;period=9.0,0.4620,0.4051,0.3438,64,0.65
FOXA,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,1.0372,0.2352,0.3522,159,3.01
FOX,overboughtThreshold=70.0;oversoldThreshold=30.0;period=5.0,1.0210,0.1632,0.3560,191,2.29
FRT,overboughtThreshold=70.0;oversoldThreshold=25.0;period=17.0,0.8146,0.1855,0.4286,28,0.91
FSLR,overboughtThreshold=80.0;oversoldThreshold=20.0;period=9.0,0.8121,0.4221,0.3651,63,2.94
FTNT,overboughtThreshold=85.0;oversoldThreshold=15.0;period=7.0,1.3751,0.2012,0.4030,67,5.54
FTV,overboughtThreshold=75.0;oversoldThreshold=25.0;period=13.0,0.9709,0.1931,0.4043,47,1.70
F,overboughtThreshold=75.0;oversoldThreshold=35.0;period=25.0,0.7700,0.4173,0.3478,23,2.39
GDDY,overboughtThreshold=65.0;oversoldThreshold=35.0;period=25.0,1.2141,0.1334,0.3871,31,2.83
GD,overboughtThreshold=85.0;oversoldThreshold=20.0;period=7.0,1.0237,0.1131,0.4028,72,1.46
GEHC,overboughtThreshold=75.0;oversoldThreshold=35.0;period=9.0,1.0709,0.1615,0.3614,83,1.16
GEN,overboughtThreshold=75.0;oversoldThreshold=35.0;period=7.0,0.6904,0.3142,0.3684,133,1.48
GEV,overboughtThreshold=75.0;oversoldThreshold=30.0;period=5.0,2.2072,0.1466,0.4478,67,1.56
GE,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,1.2347,0.1625,0.4074,81,1.84
GILD,overboughtThreshold=85.0;oversoldThreshold=20.0;period=21.0,0.9199,0.1931,0.4545,11,1.52
GIS,overboughtThreshold=70.0;oversoldThreshold=35.0;period=11.0,0.7423,0.2704,0.3714,70,0.96
GLW,overboughtThreshold=70.0;oversoldThreshold=25.0;period=5.0,0.8971,0.1957,0.3558,163,1.64
GL,overboughtThreshold=85.0;oversoldThreshold=15.0;period=25.0,0.9945,0.1296,0.3333,3,1.77
GM,overboughtThreshold=65.0;oversoldThreshold=35.0;period=11.0,0.5928,0.3931,0.3684,76,1.22
GNRC,overboughtThreshold=80.0;oversoldThreshold=15.0;period=21.0,0.3806,0.3454,0.2000,5,0.61
GOOGL,overboughtThreshold=65.0;oversoldThreshold=15.0;period=11.0,1.0377,0.1025,0.4359,39,1.19
GOOG,overboughtThreshold=65.0;oversoldThreshold=15.0;period=11.0,1.0585,0.1053,0.4390,41,1.22
GPC,overboughtThreshold=75.0;oversoldThreshold=25.0;period=9.0,1.0476,0.1682,0.3857,70,1.70
GPN,overboughtThreshold=65.0;oversoldThreshold=25.0;period=9.0,0.6816,0.2050,0.3647,85,1.23
GRMN,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,1.0701,0.1404,0.3665,191,1.98
GS,overboughtThreshold=70.0;oversoldThreshold=35.0;period=13.0,0.9566,0.1820,0.3651,63,2.08
GWW,overboughtThreshold=80.0;oversoldThreshold=25.0;period=13.0,1.2865,0.1478,0.3846,39,2.06
HAL,overboughtThreshold=75.0;oversoldThreshold=25.0;period=23.0,0.9167,0.2693,0.4211,19,2.22
HAS,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.8048,0.4008,0.3581,215,1.85
HBAN,overboughtThreshold=65.0;oversoldThreshold=25.0;period=13.0,0.8556,0.3493,0.3774,53,1.62
HCA,overboughtThreshold=80.0;oversoldThreshold=20.0;period=11.0,1.4439,0.1908,0.4324,37,4.12
HD,overboughtThreshold=80.0;oversoldThreshold=25.0;period=25.0,0.7877,0.1735,0.4545,11,1.04
HES,overboughtThreshold=75.0;oversoldThreshold=30.0;period=23.0,1.2164,0.2986,0.5000,20,6.54
HIG,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,1.4148,0.1509,0.4098,122,3.76
HII,overboughtThreshold=65.0;oversoldThreshold=25.0;period=13.0,0.7853,0.1335,0.3571,42,1.16
HLT,overboughtThreshold=80.0;oversoldThreshold=20.0;period=9.0,1.6046,0.0996,0.4655,58,3.61
HOLX,overboughtThreshold=70.0;oversoldThreshold=20.0;period=7.0,0.7166,0.1566,0.3093,97,0.81
HON,overboughtThreshold=70.0;oversoldThreshold=20.0;period=15.0,1.0134,0.0898,0.3824,34,0.87
HPE,overboughtThreshold=85.0;oversoldThreshold=20.0;period=13.0,0.8601,0.1937,0.4000,25,1.64
HPQ,overboughtThreshold=65.0;oversoldThreshold=30.0;period=15.0,1.1228,0.1868,0.4082,49,1.85
HRL,overboughtThreshold=80.0;oversoldThreshold=25.0;period=23.0,0.3924,0.1830,0.3684,19,0.47
HSIC,overboughtThreshold=75.0;oversoldThreshold=20.0;period=5.0,1.4258,0.1400,0.3758,165,3.20
HST,overboughtThreshold=65.0;oversoldThreshold=20.0;period=7.0,1.2885,0.1795,0.3739,115,4.30
HSY,overboughtThreshold=65.0;oversoldThreshold=35.0;period=13.0,0.5620,0.2198,0.3611,72,0.66
HUBB,overboughtThreshold=65.0;oversoldThreshold=20.0;period=5.0,1.2719,0.1882,0.4078,179,2.43
HUM,overboughtThreshold=65.0;oversoldThreshold=25.0;period=19.0,0.5034,0.3293,0.3824,34,0.69
HWM,overboughtThreshold=85.0;oversoldThreshold=30.0;period=9.0,1.6250,0.2133,0.4426,61,12.67
IBM,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,1.1008,0.1242,0.4333,30,1.30
ICE,overboughtThreshold=80.0;oversoldThreshold=25.0;period=13.0,0.6929,0.3109,0.4211,38,0.96
IDXX,overboughtThreshold=80.0;oversoldThreshold=25.0;period=7.0,0.7618,0.3496,0.3762,101,1.51
IEX,overboughtThreshold=80.0;oversoldThreshold=30.0;period=9.0,0.8372,0.2244,0.3731,67,1.35
